subject_id	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol	SegmentedTotalIntracranialVol
sub-0010011	4813.7	785.8	9892.7	45860.8	6487.5	3429.7	5657.9	1606.1	705.3	1305.9	14290.4	3542.4	1391.8	225109.0	669.5	3165.0	0.0	0.0	8136.1	500.7	10256.0	47377.4	6906.1	3521.9	5430.8	1463.4	3371.3	1485.0	721.5	3093.4	0.0	0.0	0.0	6.4	0.0	0.0	0.0	0.0	0.0	0.0	741.1	470.3	729.0	513.6	986.0	1239942.0	992979.0	230747.563996	240153.700394	470901.26439	186318.0	195465.0	381783.0	54230.0	619944.26439	1125111.0	878148.0	1290730.0	0.906128	0.943243	45.0	39.0	84.0	1368395.949419	0.0
sub-6568351	5304.9	418.0	12851.3	60354.1	6557.8	3832.1	5498.3	1498.4	763.9	2403.8	14267.1	3600.0	1525.1	217725.9	666.7	3303.0	0.0	0.0	6497.2	425.1	12628.8	62925.3	6185.9	3957.2	5408.1	1431.6	3771.6	1561.9	741.0	2990.2	0.0	0.0	0.0	6.7	0.0	0.0	0.0	0.0	0.0	0.0	808.6	608.4	608.1	443.4	797.0	1300988.0	1062350.0	261701.830518	257759.372089	519461.202608	182896.5	184493.5	367390.0	54455.0	699486.202608	1150793.0	912155.0	1383160.0	0.922008	0.980244	43.0	40.0	83.0	1411036.945659	0.0
sub-0010029	9169.5	632.3	13238.4	55460.8	6471.6	4523.3	6335.9	1977.4	1161.6	3188.5	18919.7	4253.2	1621.4	249863.4	593.2	4033.0	0.0	0.0	6794.6	557.8	13269.7	53498.2	6523.9	4581.2	6200.6	1788.6	4329.6	1761.6	664.0	3761.7	0.0	0.0	0.0	83.5	0.0	0.0	0.0	0.0	0.0	0.0	919.3	510.0	652.8	401.2	939.6	1403019.0	1126028.0	266428.921334	261641.459787	528070.381121	212991.0	210274.0	423265.0	61458.0	701645.381121	1265397.0	988406.0	1449822.0	0.924815	0.955665	28.0	49.0	77.0	1517081.108782	0.0
sub-0010027	5143.7	632.3	11137.3	47115.4	6769.7	4062.3	5733.6	1574.8	524.0	1158.3	15457.1	3879.6	1383.0	239334.0	723.0	2917.9	0.0	0.0	4091.2	592.0	11396.6	47140.1	7042.5	4303.2	6005.8	1611.8	3783.1	1380.1	756.8	2931.5	0.0	0.0	0.0	3.3	0.0	0.0	0.0	0.0	0.0	0.0	841.3	702.1	488.7	696.9	850.6	1318447.0	1061340.0	262703.017703	258158.727902	520861.745606	196067.5	196042.5	392110.0	56926.0	675158.745606	1199599.0	942492.0	1408048.0	0.87945	0.939217	77.0	84.0	161.0	1499172.6222	0.0
sub-7333005	4499.2	681.2	15137.2	63323.7	8509.2	4692.6	6204.7	2005.6	931.3	1852.5	19914.0	4405.6	1880.4	264631.6	750.8	4013.1	0.0	0.0	5433.1	560.6	14500.5	61177.4	8418.9	4724.2	6140.2	1891.2	4441.2	1969.4	741.1	3992.1	0.0	0.0	0.0	4.7	0.0	0.0	0.0	0.0	0.0	0.0	715.5	468.5	668.0	667.5	732.6	1509037.0	1221867.0	298079.535287	299711.595599	597791.130886	209757.5	214975.5	424733.0	66715.0	792177.130886	1352547.0	1065377.0	1601536.0	0.906744	0.962324	22.0	12.0	34.0	1664237.227948	0.0
sub-0010073	7199.9	672.3	15574.8	62408.3	8156.8	4700.1	6005.4	1919.4	996.2	2227.5	21631.5	4805.5	2064.4	271587.7	565.1	4498.7	0.0	0.0	7030.8	698.6	15470.6	59316.0	7647.8	4766.3	6025.0	2093.7	4613.0	1869.2	625.9	4174.3	0.0	0.0	0.0	9.5	0.0	0.0	0.0	0.0	0.0	0.0	999.5	583.2	603.0	514.7	1011.6	1581194.0	1285196.0	288091.751126	286309.974107	574401.725233	260071.0	264225.0	524296.0	67078.0	765672.725233	1426219.0	1130221.0	1640591.0	0.922025	0.95666	37.0	41.0	78.0	1714915.098625	0.0
sub-0010080	11560.1	764.1	16638.9	58896.2	7053.3	3861.2	5576.7	1995.4	827.2	1764.0	20645.0	4840.1	1731.6	285111.1	659.2	4142.3	0.0	0.0	15952.8	606.7	16251.3	60194.0	7236.2	3985.0	5448.0	1808.6	4922.6	1813.6	673.4	4092.5	0.0	0.0	0.0	7.2	0.0	0.0	0.0	0.0	0.0	0.0	955.7	593.0	842.4	544.2	1061.7	1436875.0	1116192.0	242114.843224	243735.397107	485850.240331	217277.5	220552.5	437830.0	61974.0	670735.240331	1282152.0	961469.0	1496897.0	0.928453	0.967237	33.0	34.0	67.0	1547601.309612	0.0
sub-0010042	5558.9	751.7	15202.6	62970.6	7827.2	4092.1	6346.1	1879.9	739.9	2661.8	19564.1	4049.4	1789.9	243601.9	863.0	3899.9	0.0	0.0	4252.0	658.8	15629.1	62325.1	7329.9	4265.5	6201.4	1752.2	4555.0	1814.5	775.7	3671.3	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	979.2	653.8	680.3	613.7	1017.0	1568544.0	1304192.0	302267.652252	299978.679373	602246.331625	263062.5	258846.5	521909.0	63158.0	793919.331625	1410282.0	1145930.0	1614991.0	0.926234	0.953661	56.0	58.0	114.0	1693464.574011	0.0
sub-1177160	7793.4	447.5	13483.3	59141.8	6995.5	3743.8	5741.5	1766.7	1147.2	2168.8	17586.4	3595.1	1726.4	254685.6	688.7	3971.9	0.0	0.0	4446.1	498.3	12691.6	57509.4	6998.5	3952.0	5715.7	1701.7	4243.8	1774.5	703.5	3922.5	0.0	0.0	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	883.4	392.6	586.6	814.0	716.4	1414201.0	1135375.0	286578.228766	283553.060797	570131.289563	199511.0	199321.0	398832.0	59221.0	748156.289563	1270020.0	991194.0	1500473.0	0.924209	0.98059	22.0	32.0	54.0	1530173.748793	0.0
sub-4060823	7432.4	748.3	16067.8	62527.4	7488.5	4156.7	6009.4	1991.2	835.9	2655.2	20290.7	4592.2	1746.9	235017.1	648.7	4189.9	0.0	0.0	7239.8	674.5	14890.8	61462.0	7192.7	4337.1	6208.3	1786.3	4617.0	1778.3	661.0	3974.4	0.0	0.0	0.0	16.2	0.0	0.0	0.0	0.0	0.0	0.0	1022.1	620.5	781.8	502.4	1093.8	1415546.0	1155264.0	263741.906237	265843.227426	529585.133663	219007.0	219981.0	438988.0	63540.0	720777.133663	1258004.0	997722.0	1482824.0	0.918278	0.961922	41.0	43.0	84.0	1541521.791743	0.0
